NCT Number	Title	Acronym	Status	Conditions	Interventions	Outcome Measures	Sponsors	Gender	Age	Enrollment	Funders	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	Last Verified	First Submitted	First Posted	Results First Submitted	Results First Posted	Last Update Submitted	Last Update Posted	URL	Setting	Stage	Sponsor_Type	Controlled	Multi-Arm	Pediatric	Country_PI	Cancer_Group	Cancer_Type	Drug_INN	Primary-EP	Phase	DrugBank	Removed
NCT04393454	Study to Evaluate the Efficacy and Safety of Sirolimus in Subjects With Metastatic, Mismatch Repair Deficient Solid Tumors After Immunotherapy		Suspended	Metastatic dMMR Solid Cancer|Solid Tumor|Cancer|Metastatic Solid Tumor	Drug: Sirolimus 2Mg Tab	Overall Response Rate; Progression Free Survival (PFS) - median months; Response Duration (months); Overall Survival (OS) - median months	Albert Einstein College of Medicine	All	18 Years to 65 Years   (Adult, Older Adult)	16	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2019-10724	06/03/2020	08/01/2023	08/01/2023			19/05/2020				16/05/2023	https://ClinicalTrials.gov/show/NCT04393454		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Multiple cancer types	Any solid tumours	Sirolimus	Response rate; PFS; OS	Phase 2	DB00877	N
NCT04481100	CCRT With Itraconazole in Locally Advanced Squamous Esophageal Cancer		Unknown status	Esophageal Neoplasm|Esophageal Diseases|Esophageal Squamous Cell Carcinoma	Drug: itraconazole	Objective response rate (ORR); Treatment-emergent adverse events; Local-regional free survival (LRFS); Overall survival (OS)	Hangzhou Cancer Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	38	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	20200707	10/01/2020	31/07/2021	31/07/2023			22/07/2020				14/10/2020	https://ClinicalTrials.gov/show/NCT04481100		Localised/Locoregional; Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	China	GI	Esophageal Cancer	Itraconazole	Safety and/or Dose; Response rate; OS; DFS/RFS/EFS	Phase 2	DB01167	N
NCT03217669	Epacadostat (INCB24360) in Combination With Sirolimus in Advanced Malignancy		Active, not recruiting	Advanced Solid Tumor|Non-small Cell Lung Cancer (NSCLC)	Drug: Epacadostat; Drug: sirolimus	Incidence of treatment-emergent adverse events.; Overall response response in subjects with NSCLC (dose expansion cohort); Disease control rate (DCR) >40  in subjects with NSCLC (dose expansion cohort); Median progression free survival (mPFS) >3 months in subjects with NSCLC (dose expansion cohort); Median Overall Survival (mOS) > 6 months in subjects with NSCLC (dose expansion cohort)	Chao Huang; University of Kansas Medical Center	All	18 Years and older   (Adult, Older Adult)	15	Other	Interventional Study	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IIT-2016-Epacadostat+SIRO	22/02/2018	04/01/2024	08/01/2025			14/07/2017				05/03/2023	https://ClinicalTrials.gov/show/NCT03217669		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Multiple cancer types; Lung	Any solid tumours; Non-Small Cell Lung Cancer	Sirolimus	Safety and/or Dose	Phase 1	DB00877	N
NCT02875223	A Safety and Efficacy Study of CC-90011 in Participants With Relapsed and/or Refractory Solid Tumors and Non-Hodgkin's Lymphomas		Active, not recruiting	Lymphoma, Non-Hodgkin|Neoplasms	Drug: CC-90011; Drug: Rifampicin; Drug: Itraconazole	Dose-Limiting Toxicity (DLT); Maximum tolerated dose (MTD) evaluated using the NCI CTCAE criteria; Maximum observed plasma concentration (Cmax); Area under the plasma concentration-time curve (AUC) from time zero extrapolated to infinity (AUC0- ); AUC from time zero to the last quantifiable concentration (AUC0-t); Clinical Benefit Rate (CBR) determined by response and stable disease rates by disease appropriate response criteria; Objective Response Rate (ORR); Progression-Free Survival (PFS); Overall Survival (OS); Duration of Response (DOR)	Celgene	All	18 Years and older   (Adult, Older Adult)	91	Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CC-90011-ST-001	31/08/2016	08/08/2023	29/06/2025			23/08/2016				25/07/2023	https://ClinicalTrials.gov/show/NCT02875223		Recurrent/Refractory	Company	N	Y	N	France	Multiple cancer types; Lymphoma; Leukemia	Any solid tumours; Any lymphoma; Any leukemias	Itraconazole; Rifampicin	Safety and/or Dose	Phase 1	DB01167; DB01045	N
NCT02584647	PLX3397 Plus Sirolimus in Unresectable Sarcoma and Malignant Peripheral Nerve Sheath Tumors	PLX3397	Recruiting	Sarcoma|Malignant Peripheral Nerve Sheath Tumors	Drug: PLX3397; Drug: Sirolimus	Maximum tolerated dose (MTD) - Phase 1; Progression free survival (PFS) rate - Phase 2; Overall survival rate	Gulam Manji; Daiichi Sankyo, Inc.; Columbia University	All	18 Years and older   (Adult, Older Adult)	43	Other; Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AAAO6059; R01FD005745	11/04/2015	07/01/2023	03/01/2024			22/10/2015				21/02/2023	https://ClinicalTrials.gov/show/NCT02584647		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Soft Tissue Sarcoma	Other Soft Tissue Sarcoma; Any soft tissue sarcoma	Sirolimus	Safety and/or Dose; PFS	Phase 1/2	DB00877	N
NCT03796273	Ketoconazole Before Surgery in Treating Patients With Recurrent Glioma or Breast Cancer Brain Metastases		Recruiting	Anatomic Stage IV Breast Cancer AJCC v8|Astrocytoma|Breast Carcinoma Metastatic in the Brain|Glioma|Invasive Breast Carcinoma|Oligodendroglioma|Prognostic Stage IV Breast Cancer AJCC v8|Recurrent Glioma	Other: Best Practice; Drug: Ketoconazole	tGLI1 activation signature 8 (t-GAS 8); tGLI1 pathway activation; Incidence of adverse events (AEs); Blood brain penetrance of ketoconazole in serum relative to enhancing brain tissue	Wake Forest University Health Sciences; National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	19	Other; NIH	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB00054587; NCI-2018-03087; CCCWFU 91118; P30CA012197	13/03/2019	10/01/2023	11/01/2023			01/08/2019				14/08/2023	https://ClinicalTrials.gov/show/NCT03796273		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	Y	N	N	United States	Breast; CNS	Any Breast Cancer; Glioma	Ketoconazole	Biomarker	Phase 1	DB01026	N
NCT02446431	Metronomic Therapy for Pediatric Patients With Solid Tumors at High Risk of Recurrence	Metronomic	Recruiting	Solid Tumor	Drug: Bevacizumab; Drug: Cyclophosphamide; Drug: Valproic Acid; Drug: Temsirolimus	5 year Event Free Survival; Number of Participants with Adverse Events as a Measure of Safety and Tolerability; Site(s) of relapse; Composite Cost of Treatment; Fatigue scores on the PedsQL Fatigue Scale; Pain scores on the Present Functioning Scale; Quality of Life scores on the PedsQL Quality of Life Scale	Miller Children's   Women's Hospital Long Beach; Children's Hospital of Orange County	All	12 Months to 31 Years   (Child, Adult)	20	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	1	07/01/2014	07/01/2024	07/01/2029			18/05/2015				18/05/2015	https://ClinicalTrials.gov/show/NCT02446431		Localised/Locoregional	Hospital/University/Research Institute	N	N	Y	United States	Bone Sarcoma; Soft Tissue Sarcoma	Osteosarcoma; Ewing Sarcoma; Other Soft Tissue Sarcoma; Rhabdomyosarcoma	Valproic Acid	DFS/RFS/EFS	Phase 1	DB00313	N
NCT03433183	SARC031: MEK Inhibitor Selumetinib (AZD6244) in Combination With the mTOR Inhibitor Sirolimus for Patients With Malignant Peripheral Nerve Sheath Tumors		Active, not recruiting	Malignant Peripheral Nerve Sheath Tumors|Neurofibromatosis 1	Drug: Selumetinib; Drug: Sirolimus	Clinical benefit rate of selumetinib in combination with sirolimus in patients with unresectable or metastatic NF1 associated or sporadic MPNST.; Progression free and overall survival; Define and describe the toxicities of selumetinib in combination with sirolimus in patients with unresectable or metastatic NF1 associated or sporadic MPNST.; Assess the impact on pain interference; Assess the impact on pain severity	Sarcoma Alliance for Research through Collaboration; United States Department of Defense; AstraZeneca	All	12 Years and older   (Child, Adult, Older Adult)	21	Other; U.S. Fed; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SARC031; CDMRP-NF150092	10/02/2019	09/01/2023	09/01/2023			14/02/2018				22/03/2023	https://ClinicalTrials.gov/show/NCT03433183		Advanced/Metastatic	Collaborative Group	N	N	Y	United States	Soft Tissue Sarcoma	Other Soft Tissue Sarcoma	Selumetinib; Sirolimus	Response rate	Phase 2	DB11689; DB00877	N
NCT05563766	A Phase II Trial to Evaluate the Effect of Itraconazole on Pathologic Complete Response Rates in Resectable Esophageal Cancer		Not yet recruiting	Esophageal Adenocarcinoma|Esophageal Squamous Cell Carcinoma|Gastroesophageal Junction Carcinoma	Drug: Itraconazole	Rate of pathological complete response with itraconazole; Comparison of Hedgehog, AKT, and angiogenesis pathway status before and after intervention; Correlation of peripheral blood and esophageal tissue levels of itraconazole and hydroxyitraconazole with pathologic response; Develop a predictive genomic profile of treatment response; Determine the utility of ctDNA and exosome characterization as a prognostic marker	VA Office of Research and Development; Durham VA Health Care System; VA Palo Alto Health Care System; Portland VA Medical Center; VA Puget Sound Health Care System; Michael E. DeBakey VA Medical Center; VA Boston Healthcare System	All	18 Years and older   (Adult, Older Adult)	78	U.S. Fed	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ONCB-016-21F; I01CX002349	10/02/2023	29/09/2028	14/12/2029			10/03/2022				08/03/2023	https://ClinicalTrials.gov/show/NCT05563766		Localised/Locoregional	Local/National government	N	N	N	United States	GI	Esophageal Cancer	Itraconazole	Response rate; Biomarker	Phase 2	DB01167	N
NCT04018872	Evaluating the Effect of Itraconazole on Pathologic Complete Response Rates in Esophageal Cancer		Recruiting	Esophagus Adenocarcinoma|Esophagus Squamous Cell Carcinoma|Gastroesophageal Junction Adenocarcinoma	Drug: Itraconazole	Percentage of pathological complete response with itraconazole; Comparison of hedgehog biomarkers before and after intervention; Comparison of phosphorylated VEGFR2 and AKT before and after intervention; Levels of itraconazole and metabolites in esophageal tissue	Dallas VA Medical Center	All	18 Years and older   (Adult, Older Adult)	78	U.S. Fed	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	19-017	24/06/2019	24/06/2026	29/09/2026			15/07/2019				11/04/2021	https://ClinicalTrials.gov/show/NCT04018872		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	GI	Esophageal Cancer	Itraconazole	Response rate	Phase 2	DB01167	N
NCT01552434	Bevacizumab and Temsirolimus Alone or in Combination With Valproic Acid or Cetuximab in Treating Patients With Advanced or Metastatic Malignancy or Other Benign Disease		Active, not recruiting	Advanced Malignant Neoplasm|Castleman Disease|Digestive System Carcinoma|Erdheim-Chester Disease|Lip and Oral Cavity Carcinoma|Lymphangioleiomyomatosis|Malignant Endocrine Neoplasm|Malignant Female Reproductive System Neoplasm|Malignant Male Reproductive System Neoplasm|Malignant Neoplasm|Malignant Respiratory Tract Neoplasm|Malignant Thoracic Neoplasm|Malignant Urinary System Neoplasm|Mesothelial Neoplasm|Metastatic Malignant Neoplasm|Metastatic Urothelial Carcinoma|Neurofibromatosis Type 2|Recurrent Adult Soft Tissue Sarcoma|Recurrent Breast Carcinoma|Recurrent Childhood Soft Tissue Sarcoma|Recurrent Digestive System Carcinoma|Recurrent Female Reproductive System Carcinoma|Recurrent Male Reproductive System Carcinoma|Recurrent Malignant Neoplasm|Recurrent Pharyngeal Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Malignant Neoplasm|Soft Tissue Neoplasm|Stage III Breast Cancer AJCC v7|Stage III Pharyngeal Cancer|Stage IIIA Breast Cancer AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIC Breast Cancer AJCC v7|Stage IV Breast Cancer AJCC v6 and v7|Stage IV Pharyngeal Cancer|Stage IVA Pharyngeal Cancer|Stage IVB Pharyngeal Cancer|Stage IVC Pharyngeal Cancer|Thyroid Gland Neoplasm	Biological: Bevacizumab; Biological: Cetuximab; Other: Laboratory Biomarker Analysis; Other: Pharmacological Study; Drug: Temsirolimus; Drug: Valproic Acid	Maximum tolerated dose (MTD) of bevacizumab, defined as the dose level below the dose at which 2 of 6 patients experience drug-related dose limiting toxicity (DLT); MTD of temsirolimus, defined as the dose level below the dose at which 2 of 6 patients experience DLT; Anti-tumor efficacy of each combination (objective response); Levels of surrogate anti-angiogenesis markers	M.D. Anderson Cancer Center; National Cancer Institute (NCI)	All	Child, Adult, Older Adult	155	Other; NIH	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2012-0061; NCI-2012-00347	16/03/2012	31/03/2024	31/03/2024			13/03/2012				15/06/2023	https://ClinicalTrials.gov/show/NCT01552434		Advanced/Metastatic	Hospital/University/Research Institute	Y	Y	N	United States	Multiple cancer types	Any solid tumours	Valproic Acid	Safety and/or Dose	Phase 1	DB00313	N
NCT05896839	Immunotherapy in Combination With Prednisone and Sirolimus for Kidney Transplant Recipients With Unresectable or Metastatic Skin Cancer		Not yet recruiting	Clinical Stage III Cutaneous Melanoma AJCC v8|Clinical Stage III Merkel Cell Carcinoma AJCC v8|Clinical Stage IV Cutaneous Melanoma AJCC v8|Clinical Stage IV Merkel Cell Carcinoma AJCC v8|Metastatic Basal Cell Carcinoma|Metastatic Carcinoma in the Skin|Metastatic Melanoma|Metastatic Merkel Cell Carcinoma|Metastatic Skin Squamous Cell Carcinoma|Unresectable Basal Cell Carcinoma|Unresectable Melanoma|Unresectable Merkel Cell Carcinoma|Unresectable Skin Squamous Cell Carcinoma	Procedure: Biopsy; Procedure: Biospecimen Collection; Procedure: Computed Tomography; Biological: Ipilimumab; Procedure: Kidney Biopsy; Procedure: Magnetic Resonance Imaging; Biological: Nivolumab; Drug: Prednisone; Drug: Sirolimus	Disease control without allograft loss; Objective response rate (ORR); Rate of allograft loss and rejection; Duration of response (DOR) among patients who experience CR or PR; Progression-free survival (PFS); Overall survival	National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	16	NIH	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NCI-2023-04306; 10614; UM1CA186691	12/08/2023	31/01/2027	31/01/2027			06/09/2023				06/09/2023	https://ClinicalTrials.gov/show/NCT05896839		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Skin	Basal Cell Carcinoma; Melanoma; Merkel Cell Carcinoma; Other skin cancer	Sirolimus	Response rate; PFS; OS; Other (specify)	Phase 1/2	DB00877	N
NCT04771130	A Study of BGB-11417 in Participants With Myeloid Malignancies		Recruiting	Acute Myeloid Leukemia|Myelodysplastic Syndromes|Myelodysplastic/Myeloproliferative Neoplasm	Drug: BGB-11417; Drug: Azacitidine; Drug: Posaconazole	Part 1 And 2: Number Of Participants Experiencing Dose-limiting Toxicities (DLTs); Part 1 And 2: Number Of Participants Receiving BGB-11417 In Combination With Azacitidine Experiencing Treatment-emergent Adverse Events (TEAEs); Part 3 AML Cohort: Complete Remission (CR) Plus CR With Partial Hematologic Recovery (CRh) Rate; Part 3 MDS Cohort: Modified Overall Response (mOR) Rate; Part 3 AML Cohort (DDI Sub-cohort): Area Under Plasma Concentration-time Curve (AUC) from time 0 to the last quantifiable (AUC0-t) Of BGB-11417 When Co-administered With Posaconazole; Part 3 AML Cohort (DDI Sub-cohort): Maximum Observed Plasma Concentration (Cmax) Of BGB-11417 When Coadministered With Posaconazole; Part 3 AML Cohort (DDI Sub-cohort): Area Under Plasma Concentration-time Curve (AUC) from time 0 to infinity (AUC0-infinity) Of BGB-11417 When Co-administered With Posaconazole; Part 3 AML and MDS Cohorts (Treated with Monotherapy): Number Of Participants Experiencing DLTs; Part 3 AML and MDS Cohorts (Treated with Monotherapy): Number of Participants Experiencing TEAEs; Parts 1 And 2 AML Cohort: CR Plus CRh Rate; Parts 1 And 2 MDS Cohort: mOR Rate; Parts 1 And 2: Cmax Of Azacitidine When Coadministered With BGB-11417; Parts 1 And 2: t1/2 Of Azacitidine When Coadministered With BGB-11417; Parts 1 And 2: AUC From Time Zero To Time t (AUC0-t) Of Azacitidine When Coadministered With BGB-11417; Parts 1 And 2: AUC From Time Zero To Infinity (AUC0-inf) Of Azacitidine When Coadministered With BGB-11417; Parts 1 And 2: Apparent Total Clearance Of Drug From Plasma After Oral Administration (CL/F) Of Azacitidine When Coadministered With BGB-11417; Parts 1 And 2: Apparent Volume Of Distribution (Vz/F) Of Azacitidine When Coadministered With BGB-11417; Parts 1 And 2: Steady-state AUC From Time Zero To Time Of Last Measurable Concentration (AUClast,ss) Of BGB-11417 When Coadministered With Azacitidine; Parts 1 And 2: Steady-state Cmax (Cmax,ss) Of BGB-11417 When Coadministered With Azacitidine; Parts 1 And 2: Steady-state Trough Plasma Concentration (Ctrough,ss) Of BGB-11417 When Coadministered With Azacitidine; Parts 1 And 2: Steady-state Time To Maximum Observed Plasma Concentration (tmax,ss) Of BGB-11417 When Coadministered With Azacitidine; Part 3: Number Of Participants Receiving BGB-11417 In Combination With Azacitidine Experiencing TEAEs; Part 3: Complete Response; Part 3 AML Cohort: CR With Incomplete Hematologic Recovery (CRi) Rate; Part 3 AML Cohort: Overall Response Rate (ORR); Part 3 AML Cohort: Duration Of Response (DOR); Part 3 AML Cohort: Time To Response (TTR); Part 3 AML Cohort: Event-free Survival (EFS); Part 3 AML Cohort: Overall Survival (OS); Part 3 AML Cohort: Number Of Participants Receiving BGB-11417 In Combination With Posaconazole Experiencing TEAEs; Part 3 AML Cohort: Number of Participants with Transfusion Independence; Part 3 MDS Cohort: Number Of Participants With Hematological Improvement-erythroid (HI-E); Part 3 MDS Cohort: Proportion Of Participants With Hematological Improvement-platelet (HI-P); Part 3 MDS Cohort: Proportion Of Participants With Hematological Improvement-neutrophil (HI-N); Part 3 MDS Cohort: Number of participants with Transfusion Independence; Part 3: Ctrough,ss Of BGB-11417 When Coadministered With Azacitidine; Part 3 MDS cohort: Partial Hematologic Recovery CRh; Part 3 AML (Treated with Monotherapy): Complete Response + Morphologic complete Remission with Partial Hematologic Recovery; Part 3 AML (Treated with Monotherapy): Steady State trough plasma concentration of BGB-11417; Part 3 MDS (Treated with Monotherapy): Modified Overall Response; Part 3 MDS (Treated with Monotherapy): Steady State trough plasma concentration of BGB-11417	BeiGene	All	18 Years and older   (Adult, Older Adult)	260	Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BGB-11417-103; 2021-003285-12	24/05/2021	12/01/2023	08/01/2025			25/02/2021				25/08/2023	https://ClinicalTrials.gov/show/NCT04771130		Localised/Locoregional; Recurrent/Refractory	Company	Y	N	N	Australia	Leukemia; Other Haem-onc	Acute Lymphoblastic Leukemia, Adult; Myelodysplastic Syndromes	Posaconazole	Safety and/or Dose; Response rate	Phase 1/2	DB01263	N
NCT05591560	Itraconazole in Advanced Ovarian Cancer		Not yet recruiting	Ovarian Carcinoma	Drug: Itraconazole capsule; Drug: Placebo	The change between 2 groups in overall response rate and disease control rate; The change in the serum concentrations of the biological markers (CA-125, VEGFR-2, P-glycoprotein).	Tanta University	Female	18 Years to 65 Years   (Adult, Older Adult)	66	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	35929/10/22	10/01/2022	10/01/2024	10/01/2024			24/10/2022				24/10/2022	https://ClinicalTrials.gov/show/NCT05591560		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	Y	N	N	Egypt	Gynaecological	Ovarian Epithelial Cancer	Itraconazole	Response rate; Biomarker; Other (specify)	Other	DB01167	N
NCT03763396	Azoles Targeting Recurrent High Grade Gliomas		Unknown status	Brain Tumor, Recurrent|Cancer, Advanced|Glioma of Brain	Drug: Ketoconazole (KCZ); Drug: Posaconazole (PCZ)	Intratumoral concentrations of KCZ or PCZ; Plasma concentrations of KCZ or PCZ; Assess Hexokinase 2 activity; Assess the biological effects of KCZ or PCZ on metabolites within the glycolytic pathway; assess the biological effects of KCZ or PCZ on tumor proliferation; assess biological effects of KCZ or PCZ on tumor cell death; assess biological effects of KCZ or PCZ on tumor angiogenesis	University Health Network, Toronto	All	18 Years and older   (Adult, Older Adult)	30	Other	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	18-5097	08/01/2019	08/01/2022	08/01/2022			12/04/2018				04/01/2021	https://ClinicalTrials.gov/show/NCT03763396		Recurrent/Refractory	Hospital/University/Research Institute	N	Y	N	Canada	CNS	Glioma	Ketoconazole; Posaconazole	Other (specify)	Phase 1	DB01026; DB01263	N
NCT04813653	Cyclosporine in Combination With Carfilzomib and Dexamethasone in Relapsed Multiple Myeloma Refractory to Carfilzomib and High Expression of PPIA Gene in Myeloma Cells		Recruiting	Multiple Myeloma in Relapse|Multiple Myeloma, Refractory	Drug: cyclosporine in combination with carfilzomib and dexamethasone	Number of Participants With Abnormal Laboratory Values and/or Adverse Events That Are Related to Treatment parameters.; Overall response rate ORR; Progression free survival PFS; Duration of Response DOR; Time to Response TTR; Depth of Best Response (DpR); Time to progression (TTP); Overall Survival (OS); Extramedullary progression; Percentage of cyclosporine trough levels tests in acceptable range; Mean   of levels in acceptable range will be calculated for the efficacy population.	Tel-Aviv Sourasky Medical Center; Weizmann Institute of Science	All	18 Years and older   (Adult, Older Adult)	10	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1007-20-TLV	18/04/2021	04/01/2024	05/01/2024			24/03/2021				21/04/2023	https://ClinicalTrials.gov/show/NCT04813653		Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	Israel	Other Haem-onc	Multiple Myeloma	Cyclosporine	Safety and/or Dose	Phase 1	DB00091	N
NCT03778996	SM-88 Maintenance Therapy for Advanced Ewing's Sarcoma and as Salvage Therapy for Sarcoma	HopES	Active, not recruiting	Sarcoma, Ewing|Sarcoma	Drug: Combination metyrosine-derivative, low-dose methoxsalen, phenytoin and sirolimus (MPS)	Overall Response Rate; Stable Disease for at Least 3 Months; Progression Free Survival on Study of at Least 1.5 Times the Duration of PFS for the Last Prior Treatment; Duration of Response; Overall Survival; Clinical Benefit Rate; Incidence of Treatment-Emergent Adverse Events as assessed by CTCAE v5	Sarcoma Oncology Research Center, LLC; Tyme, Inc	All	12 Years and older   (Child, Adult, Older Adult)	31	Other; Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SM-88-JAF-16	01/03/2020	19/01/2023	31/10/2023			19/12/2018				23/01/2023	https://ClinicalTrials.gov/show/NCT03778996		Advanced/Metastatic; Recurrent/Refractory	Collaborative Group	N	N	N	United States	Bone Sarcoma; Soft Tissue Sarcoma	Ewing Sarcoma; Any Bone Sarcomas; Any soft tissue sarcoma	Phenytoin; Sirolimus	Response rate	Phase 2	DB00252; DB00877	N
NCT02583893	Biomarkers in Predicting Treatment Response to Sirolimus and Chemotherapy in Patients With High-Risk Acute Myeloid Leukemia		Completed	Recurrent Adult Acute Myeloid Leukemia|Secondary Acute Myeloid Leukemia|Untreated Adult Acute Myeloid Leukemia	Drug: Sirolimus; Drug: Mitoxantrone; Drug: Etoposide; Drug: Cytarabine	Biochemical response; Clinical response; Incidence of adverse events; Overall response rate (ORR) (complete response [CR], CR with incomplete platelet recovery [CRp], or partial response); Relapse free survival (RFS); Overall survival (OS)	Sidney Kimmel Cancer Center at Thomas Jefferson University; Thomas Jefferson University	All	18 Years and older   (Adult, Older Adult)	39	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	15D.377; 2013-087; NCI-2015-01507	10/07/2015	17/04/2023	17/05/2023			22/10/2015				06/02/2023	https://ClinicalTrials.gov/show/NCT02583893		Any/All Stages	Hospital/University/Research Institute	N	N	N	United States	Leukemia	Acute Myeloid Leukemia, Adult	Sirolimus	Biomarker	Phase 2	DB00877	N
